재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기 3분기 3개월	당기 3분기 누적	전기 3분기 3개월	전기 3분기 누적	전기	전전기
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2021-09-30	3분기보고서	KRW	ifrs-full_Revenue	매출액	8,852,672,790,000	25,200,576,399,000	8,224,388,965,000	23,858,395,128,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2021-09-30	3분기보고서	KRW	ifrs-full_CostOfSales	매출원가	6,388,358,172,000	18,005,756,995,000	5,995,943,963,000	17,447,397,417,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2021-09-30	3분기보고서	KRW	ifrs-full_GrossProfit	매출총이익	2,464,314,618,000	7,194,819,404,000	2,228,445,002,000	6,410,997,711,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2021-09-30	3분기보고서	KRW	dart_TotalSellingGeneralAdministrativeExpenses	판매비와관리비	1,966,757,319,000	5,682,297,488,000	1,799,347,640,000	5,358,885,235,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2021-09-30	3분기보고서	KRW	dart_OperatingIncomeLoss	영업이익	497,557,299,000	1,512,521,916,000	429,097,362,000	1,052,112,476,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2021-09-30	3분기보고서	KRW	ifrs-full_FinanceIncome	금융수익	116,068,390,000	316,716,636,000	68,136,549,000	328,016,936,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2021-09-30	3분기보고서	KRW	ifrs-full_FinanceCosts	금융비용	270,505,974,000	736,277,758,000	207,181,220,000	801,185,104,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2021-09-30	3분기보고서	KRW	entity00148540_udf_IS_202081110523392_IncomeStatementAbstract	공동기업 및 관계기업투자주식에 대한 지분법손익	13,933,134,000	50,651,540,000	16,413,885,000	51,203,410,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2021-09-30	3분기보고서	KRW	dart_OtherGains	기타영업외수익	57,415,062,000	463,016,445,000	65,228,463,000	753,573,706,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2021-09-30	3분기보고서	KRW	dart_OtherLosses	기타영업외비용	111,311,963,000	571,601,591,000	147,327,444,000	465,194,404,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2021-09-30	3분기보고서	KRW	ifrs-full_ProfitLossBeforeTax	법인세비용차감전순이익	303,155,948,000	1,035,027,188,000	224,367,595,000	918,527,020,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2021-09-30	3분기보고서	KRW	ifrs-full_IncomeTaxExpenseContinuingOperations	법인세비용	142,779,398,000	427,069,565,000	82,509,415,000	358,183,748,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2021-09-30	3분기보고서	KRW	ifrs-full_ProfitLoss	당기순이익	160,376,550,000	607,957,623,000	141,858,180,000	560,343,272,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2021-09-30	3분기보고서	KRW	ifrs-full_ProfitLossAttributableToAbstract	당기순이익의 귀속						
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2021-09-30	3분기보고서	KRW	ifrs-full_ProfitLossAttributableToOwnersOfParent	   지배기업의소유주	52,205,467,000	197,565,491,000	63,221,767,000	243,062,781,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2021-09-30	3분기보고서	KRW	ifrs-full_ProfitLossAttributableToNoncontrollingInterests	   비지배지분	108,171,083,000	410,392,132,000	78,636,413,000	317,280,491,000		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2021-09-30	3분기보고서	KRW	ifrs-full_EarningsPerShareAbstract	주당이익 [abstract]						
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2021-09-30	3분기보고서	KRW	ifrs-full_BasicEarningsLossPerShare	   보통주주당순이익	1,557	5,890	1,884	7,246		
손익계산서, 기능별 분류 - 연결재무제표	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2021-09-30	3분기보고서	KRW	ifrs-full_DilutedEarningsLossPerShare	   보통주희석주당순이익	1,557	5,890	1,884	7,246		
손익계산서, 기능별 분류 - 연결재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2021-09-30	3분기보고서	KRW	ifrs-full_Revenue	매출액	2,846,489,119,659	8,286,326,843,994	2,774,501,972,656	7,939,860,353,970		
손익계산서, 기능별 분류 - 연결재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2021-09-30	3분기보고서	KRW	ifrs-full_CostOfSales	매출원가	2,570,837,543,590	7,511,968,877,643	2,521,916,933,998	7,202,566,550,216		
손익계산서, 기능별 분류 - 연결재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2021-09-30	3분기보고서	KRW	ifrs-full_GrossProfit	매출총이익	275,651,576,069	774,357,966,351	252,585,038,658	737,293,803,754		
손익계산서, 기능별 분류 - 연결재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2021-09-30	3분기보고서	KRW	dart_TotalSellingGeneralAdministrativeExpenses	판매비와관리비	170,303,267,488	530,310,564,266	160,047,812,812	502,708,135,937		
손익계산서, 기능별 분류 - 연결재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2021-09-30	3분기보고서	KRW	dart_OperatingIncomeLoss	영업이익	105,348,308,581	244,047,402,085	92,537,225,846	234,585,667,817		
손익계산서, 기능별 분류 - 연결재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2021-09-30	3분기보고서	KRW	ifrs-full_FinanceIncome	금융수익	18,124,018,944	44,728,923,918	8,732,372,975	42,941,384,745		
손익계산서, 기능별 분류 - 연결재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2021-09-30	3분기보고서	KRW	ifrs-full_FinanceCosts	금융원가	57,069,464,720	132,943,415,028	47,845,143,772	135,447,448,204		
손익계산서, 기능별 분류 - 연결재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2021-09-30	3분기보고서	KRW	dart_OtherGains	기타수익	1,580,096,696	199,874,570,117	30,764,693,446	63,412,433,844		
손익계산서, 기능별 분류 - 연결재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2021-09-30	3분기보고서	KRW	dart_OtherLosses	기타비용	15,426,090,086	181,546,771,163	15,478,348,636	76,175,199,570		
손익계산서, 기능별 분류 - 연결재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2021-09-30	3분기보고서	KRW	entity00113410_udf_IS_2017112133014742_IncomeStatementAbstract	지분법손익	3,466,887,542	5,911,895,370	-767,538,935	6,169,551,640		
손익계산서, 기능별 분류 - 연결재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2021-09-30	3분기보고서	KRW	ifrs-full_ProfitLossBeforeTax	법인세비용차감전순이익	56,023,756,957	180,072,605,299	67,943,260,924	135,486,390,272		
손익계산서, 기능별 분류 - 연결재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2021-09-30	3분기보고서	KRW	ifrs-full_IncomeTaxExpenseContinuingOperations	법인세비용	16,478,568,785	72,525,638,485	20,431,109,899	40,397,337,995		
손익계산서, 기능별 분류 - 연결재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2021-09-30	3분기보고서	KRW	ifrs-full_ProfitLoss	분기순이익	39,545,188,172	107,546,966,814	47,512,151,025	95,089,052,277		
손익계산서, 기능별 분류 - 연결재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2021-09-30	3분기보고서	KRW	ifrs-full_ProfitLossAttributableToAbstract	분기순이익의 귀속						
손익계산서, 기능별 분류 - 연결재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2021-09-30	3분기보고서	KRW	ifrs-full_ProfitLossAttributableToOwnersOfParent	   지배기업의 소유주지분	36,816,213,108	-2,196,106,605	42,193,852,536	91,393,007,995		
손익계산서, 기능별 분류 - 연결재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2021-09-30	3분기보고서	KRW	ifrs-full_ProfitLossAttributableToNoncontrollingInterests	   비지배지분	2,728,975,064	109,743,073,419	5,318,298,489	3,696,044,282		
손익계산서, 기능별 분류 - 연결재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2021-09-30	3분기보고서	KRW	ifrs-full_EarningsPerShareAbstract	주당이익 [abstract]						
손익계산서, 기능별 분류 - 연결재무제표	[000120]	CJ대한통운	유가증권시장상장법인	493	도로 화물 운송업	12	2021-09-30	3분기보고서	KRW	ifrs-full_BasicEarningsLossPerShare	   지배기업 소유주 기본 및 희석주당이익(손실)	1,620	-788	2,076	4,289		
손익계산서, 기능별 분류 - 연결재무제표	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2021-09-30	3분기보고서	KRW	ifrs-full_Revenue	매출액	328,439,857,760	846,826,587,067	240,646,806,647	708,100,919,538		
손익계산서, 기능별 분류 - 연결재무제표	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2021-09-30	3분기보고서	KRW	ifrs-full_CostOfSales	매출원가	174,138,794,544	487,068,413,920	142,913,231,958	413,172,891,615		
손익계산서, 기능별 분류 - 연결재무제표	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2021-09-30	3분기보고서	KRW	ifrs-full_GrossProfit	매출총이익	154,301,063,216	359,758,173,147	97,733,574,689	294,928,027,923		
손익계산서, 기능별 분류 - 연결재무제표	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2021-09-30	3분기보고서	KRW	dart_TotalSellingGeneralAdministrativeExpenses	판매비와관리비	35,321,546,820	98,798,218,591	30,607,288,009	85,996,073,262		
손익계산서, 기능별 분류 - 연결재무제표	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2021-09-30	3분기보고서	KRW	dart_OperatingIncomeLoss	영업이익(손실)	118,979,516,396	260,959,954,556	67,126,286,680	208,931,954,661		
손익계산서, 기능별 분류 - 연결재무제표	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2021-09-30	3분기보고서	KRW	ifrs-full_FinanceIncome	금융수익	1,249,298,984	5,936,863,700	828,789,016	5,682,364,782		
손익계산서, 기능별 분류 - 연결재무제표	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2021-09-30	3분기보고서	KRW	ifrs-full_FinanceCosts	금융비용	1,519,515,996	4,850,140,954	1,175,485,669	10,546,941,335		
손익계산서, 기능별 분류 - 연결재무제표	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2021-09-30	3분기보고서	KRW	dart_OtherGains	기타영업외수익	7,006,936,037	14,690,705,545	2,102,404,658	9,852,783,571		
손익계산서, 기능별 분류 - 연결재무제표	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2021-09-30	3분기보고서	KRW	dart_OtherLosses	기타영업외비용	4,152,558,452	9,920,815,391	3,571,770,306	10,602,587,202		
손익계산서, 기능별 분류 - 연결재무제표	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2021-09-30	3분기보고서	KRW	entity00160843_udf_IS_201889114827723_IncomeStatementAbstract	지분법이익	4,699,734,082	4,705,026,635	-1,730,981	6,246,144		
손익계산서, 기능별 분류 - 연결재무제표	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2021-09-30	3분기보고서	KRW	entity00160843_udf_IS_202181211412488_IncomeStatementAbstract	지분법손실	2,172,603	2,172,603	4,065,322,170	8,467,674,046		
손익계산서, 기능별 분류 - 연결재무제표	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2021-09-30	3분기보고서	KRW	ifrs-full_ProfitLossBeforeTax	법인세비용차감전순이익(손실)	126,261,238,448	271,519,421,488	61,243,171,228	194,856,146,575		
손익계산서, 기능별 분류 - 연결재무제표	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2021-09-30	3분기보고서	KRW	ifrs-full_IncomeTaxExpenseContinuingOperations	법인세비용	33,595,204,230	71,999,864,983	14,200,939,815	42,396,491,583		
손익계산서, 기능별 분류 - 연결재무제표	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2021-09-30	3분기보고서	KRW	ifrs-full_ProfitLossFromContinuingOperations	계속영업이익(손실)	92,666,034,218	199,519,556,505	47,042,231,413	152,459,654,992		
손익계산서, 기능별 분류 - 연결재무제표	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2021-09-30	3분기보고서	KRW	ifrs-full_ProfitLossFromDiscontinuedOperations	중단영업이익(손실)	0	0	0	0		
손익계산서, 기능별 분류 - 연결재무제표	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2021-09-30	3분기보고서	KRW	ifrs-full_ProfitLoss	당기순이익(손실)	92,666,034,218	199,519,556,505	47,042,231,413	152,459,654,992		
손익계산서, 기능별 분류 - 연결재무제표	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2021-09-30	3분기보고서	KRW	ifrs-full_ProfitLossAttributableToAbstract	당기순이익(손실)의 귀속 [abstract]						
